AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,COMMIS,SALES_PRICE
Adyar,1068,167,1.0,1.0,3,AdjLand,No,Others,NoSeWa,Paved,C,3.8,3.1,4.2,3.86,7587,7586885
Velachery,1810,197,3.0,2.0,5,Normal Sale,No,House,AllPub,Paved,RH,4.4,4.7,3.3,4.21,142522,8907630
Velachery,1939,149,3.0,2.0,5,AdjLand,Yes,Others,NoSeWa,No Access,A,4.8,3.7,2.1,3.5,199906,9519320
Anna Nagar,1905,6,2.0,1.0,5,AbNormal,No,Commercial,ELO,No Access,RM,3.8,3.4,3.4,3.54,123551,20591900
Chrompet,1057,33,1.0,1.0,3,AbNormal,Yes,House,AllPub,No Access,RH,3.3,3.2,4.7,3.68,121670,8111350
Velachery,1920,84,3.0,2.0,5,Family,Yes,Commercial,NoSewr ,Paved,RL,3.6,3.6,3.3,3.51,263759,16484920
T Nagar,1577,111,1.0,1.0,4,AbNormal,No,House,NoSeWa,Gravel,RL,4.1,4.5,2.0,3.255,179890,11992650
Karapakkam,787,37,1.0,1.0,2,Partial,Yes,Others,ELO,Paved,C,3.9,2.3,4.0,3.46,73593,5256625
T Nagar,1916,129,2.0,1.0,5,AbNormal,Yes,House,ELO,Gravel,RM,3.5,4.0,4.3,3.985,103007,14715230
KK Nagar,1527,107,2.0,1.0,4,Partial,Yes,Others,AllPub,Paved,RM,2.9,3.1,4.0,3.4,119123,10829380
Chrompet,1248,77,2.0,1.0,4,Family,No,House,AllPub,Gravel,RL,4.7,2.3,5.0,3.83,97470,9747000
Velachery,1555,120,2.0,1.0,4,Partial,No,House,NoSeWa,Gravel,RL,3.9,4.0,4.8,4.22,113913,8762530
KK Nagar,2323,101,4.0,2.0,6,AdjLand,No,Commercial,AllPub,Paved,RH,4.4,3.5,3.7,3.85,315528,17529340
Chrompet,961,31,1.0,1.0,3,AbNormal,Yes,House,AllPub,Paved,RL,4.8,4.7,2.4,4.04,73586,9198300
Chrompet,849,22,1.0,1.0,3,AbNormal,No,Others,NoSewr ,Paved,RM,3.0,2.8,4.8,3.46,79410,8823380
Velachery,1938,70,3.0,2.0,5,Normal Sale,Yes,Commercial,AllPub,Gravel,A,2.2,4.5,2.0,3.18,122542,15317750
Chrompet,1147,31,1.0,1.0,3,AbNormal,No,Others,AllPub,Gravel,RM,2.9,2.6,3.1,2.84,131981,10152390
Anna Nagar,1976,82,2.0,1.0,5,AbNormal,Yes,Commercial,NoSeWa,Gravel,RL,2.5,2.4,2.8,2.595,342437,22829130
Karapakkam,973,51,1.0,1.0,3,Partial,No,Others,ELO,Paved,RL,4.1,2.4,3.9,3.51,151335,6878875
KK Nagar,1472,106,2.0,1.0,4,Partial,Yes,Others,AllPub,Gravel,RM,2.5,4.9,4.7,4.1,276168,11506980
Anna Nagar,1689,48,1.0,1.0,4,Normal Sale,No,Others,AllPub,Paved,RM,3.2,2.5,3.1,2.985,148003,13454780
Karapakkam,1208,83,1.0,1.0,3,Family,Yes,Commercial,AllPub,Paved,RM,2.6,4.3,3.3,3.39,192768,12048000
Adyar,1268,185,2.0,2.0,4,Normal Sale,No,Others,AllPub,No Access,RM,2.7,3.7,3.9,3.5,150773,10769525
T Nagar,1640,26,1.0,1.0,4,Partial,No,House,NoSewr ,No Access,RH,3.6,3.3,3.8,3.615,82743,10342830
Adyar,635,186,1.0,1.0,2,Normal Sale,Yes,House,NoSeWa,No Access,C,4.5,4.2,4.3,4.34,72764,5597240
Velachery,1996,38,3.0,2.0,5,AbNormal,Yes,House,NoSewr ,Gravel,RH,2.0,4.6,4.2,3.83,203541,11307820
KK Nagar,2404,28,4.0,2.0,6,Normal Sale,No,House,AllPub,Paved,RH,4.5,3.5,3.7,3.88,220812,11040620
Velachery,1675,43,2.0,1.0,4,Normal Sale,Yes,Commercial,AllPub,No Access,I,4.6,4.2,2.1,3.67,237433,13190720
Chrompet,797,183,1.0,1.0,2,Normal Sale,No,Others,NoSeWa,No Access,RL,3.4,4.5,4.1,4.05,78770,7160890
Karapakkam,1256,67,1.0,1.0,3,Partial,No,Others,ELO,Paved,C,2.5,5.0,3.3,3.57,67716,5643000
T Nagar,1938,24,2.0,1.0,5,Normal Sale,Yes,Commercial,ELO,Gravel,RH,2.8,4.2,3.1,3.285,421452,22181670
Chrompet,757,99,1.0,1.0,2,AbNormal,Yes,Commercial,AllPub,Paved,RM,2.5,3.3,3.0,2.97,159820,11415700
Karapakkam,520,130,1.0,1.0,2,Partial,No,House,ELO,Paved,RL,3.7,4.2,3.9,3.93,82433,4849000
Karapakkam,878,82,1.0,1.0,2,Family,Yes,Commercial,NoSeWa,Gravel,RM,2.1,4.4,3.1,3.19,166196,10387250
Adyar,927,29,1.0,1.0,3,AbNormal,Yes,Commercial,ELO,Gravel,A,4.8,2.8,3.1,3.55,163344,10889570
Velachery,1751,18,2.0,1.0,4,Partial,Yes,House,AllPub,Paved,RL,4.7,2.0,3.3,3.07,165738,10358610
Chrompet,764,36,1.0,1.0,2,AbNormal,No,Others,NoSeWa,Gravel,RM,3.9,4.8,4.2,4.35,135619,8476180
Velachery,1674,2,2.0,1.0,4,AdjLand,No,Commercial,AllPub,No Access,I,3.7,4.6,4.7,4.41,248863,13098030
Velachery,1681,8,2.0,1.0,4,Family,Yes,House,ELO,Gravel,RL,2.6,2.1,3.7,2.71,202252,10644830
Anna Nagar,1976,65,2.0,1.0,5,AdjLand,No,Commercial,NoSeWa,Paved,RL,4.1,4.8,2.1,3.475,322099,21473270
Anna Nagar,1505,79,1.0,1.0,4,Normal Sale,No,House,ELO,No Access,RH,3.7,2.1,3.7,3.3,144456,9630420
Karapakkam,888,165,1.0,1.0,2,Normal Sale,No,House,AllPub,Paved,RL,3.1,3.4,2.0,2.75,96424,6428250
Velachery,1680,24,2.0,1.0,4,Family,Yes,House,ELO,No Access,A,3.3,4.4,2.5,3.56,59346,7418190
Karapakkam,631,62,1.0,1.0,2,Family,Yes,Others,NoSeWa,Gravel,RH,2.2,2.3,2.9,2.51,65434,6543375
Chrompet,1227,151,2.0,1.0,4,Partial,Yes,House,NoSewr ,Paved,RM,3.8,3.2,4.8,3.86,53937,10787350
Karapakkam,1124,60,1.0,1.0,3,AbNormal,Yes,Others,ELO,Paved,RL,2.1,2.5,3.9,2.94,86100,7827250
Anna Nagar,1962,84,2.0,1.0,5,Family,Yes,Commercial,ELO,Paved,RM,5.0,2.9,3.2,3.755,112247,22449450
Chrompet,1261,157,2.0,1.0,4,Partial,No,Others,NoSeWa,Paved,RL,2.5,3.9,3.3,3.3,77749,9718570
Chrompet,1164,63,1.0,1.0,3,Family,No,Commercial,NoSeWa,Paved,RM,3.3,4.7,3.4,3.89,66355,13271000
KK Nagar,1313,169,1.0,1.0,3,Normal Sale,Yes,House,AllPub,Gravel,RH,4.3,4.3,2.6,3.62,188290,9414520
T Nagar,1723,24,1.0,1.0,4,AdjLand,Yes,Commercial,AllPub,No Access,RL,4.7,2.5,4.4,4.015,238916,19909630
Adyar,1144,128,1.0,1.0,3,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RL,4.2,2.7,4.4,4.0,119410,14926255
Velachery,1740,83,2.0,1.0,4,AdjLand,Yes,Commercial,AllPub,Paved,RM,4.7,2.8,4.0,3.64,252050,16803310
Chrompet,1163,3,1.0,1.0,3,Partial,Yes,Others,NoSeWa,Paved,RM,4.8,3.4,2.1,3.43,104716,10471560
Chrompet,708,87,1.0,1.0,2,Partial,No,House,NoSeWa,Gravel,RM,2.1,4.1,2.4,2.99,131680,7745900
Velachery,1855,50,3.0,2.0,5,Partial,No,House,AllPub,Paved,C,4.8,4.7,3.3,4.31,121658,7603630
Karapakkam,563,87,1.0,1.0,2,Family,No,Commercial,AllPub,Paved,RM,4.9,3.0,3.8,3.89,149436,7116000
Anna Nagar,1768,74,1.0,1.0,4,AdjLand,Yes,Others,NoSeWa,Paved,RM,4.4,2.3,2.1,2.955,250567,14739250
Karapakkam,943,191,1.0,1.0,3,Partial,Yes,House,NoSewr ,Paved,C,4.1,3.0,4.7,4.01,133308,5796000
Chrompet,931,58,1.0,1.0,3,AbNormal,No,House,NoSewr ,No Access,RM,2.8,2.0,3.6,2.72,127854,7520800
Chrompet,1127,190,1.0,1.0,3,AdjLand,Yes,House,NoSewr ,Paved,RL,4.5,4.7,2.1,3.86,126123,9701800
KK Nagar,1629,113,2.0,1.0,4,Family,No,Commercial,AllPub,Paved,RM,4.3,4.9,4.3,4.48,127737,14192960
Anna Nagar,1656,56,1.0,1.0,4,AbNormal,Yes,Others,NoSewr ,Gravel,RM,3.9,2.4,4.1,3.605,283487,14920370
T Nagar,1676,127,1.0,1.0,4,Family,Yes,House,AllPub,Paved,RL,3.1,3.1,3.8,3.415,207377,12961070
Chrompet,856,133,1.0,1.0,3,AdjLand,No,House,NoSeWa,Gravel,RL,4.8,4.2,4.0,4.32,122869,8191250
Velachery,1663,1,2.0,1.0,4,AdjLand,Yes,Commercial,AllPub,No Access,RH,3.6,2.9,2.2,2.87,132159,14684370
Anna Nagar,1905,182,2.0,1.0,5,AdjLand,Yes,House,ELO,Paved,RH,3.5,2.8,2.6,2.965,65764,13152750
Karapakkam,861,195,1.0,1.0,2,AdjLand,Yes,Others,NoSewr ,Paved,RL,4.7,4.3,4.3,4.42,173158,8245625
Chrompet,1183,105,1.0,1.0,3,Normal Sale,Yes,Others,NoSeWa,Paved,RH,3.7,4.0,2.8,3.55,96272,9627210
Karapakkam,1352,171,2.0,2.0,4,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,3.8,4.0,4.2,[4.26666667 3.86666667 3.36666667 ... 3.8        4.16666667 3.63333333],164059,10937250
Anna Nagar,1510,196,1.0,1.0,4,Normal Sale,No,Others,NoSeWa,Paved,RH,4.1,4.6,3.0,[4.26666667 3.86666667 3.36666667 ... 3.8        4.16666667 3.63333333],175607,10975430
Chrompet,987,163,1.0,1.0,3,Partial,Yes,Others,NoSewr ,Paved,RM,2.9,3.0,2.0,2.67,29890,9963440
Karapakkam,1245,198,1.0,1.0,3,AbNormal,Yes,Others,AllPub,Paved,I,3.8,4.1,3.9,3.93,70473,7830375
Chrompet,1144,140,1.0,1.0,3,Family,No,House,NoSeWa,No Access,RH,4.7,3.2,4.4,4.01,52254,7464800
Chrompet,790,28,1.0,1.0,2,Family,No,House,NoSewr ,Paved,RL,2.6,3.2,3.0,2.96,102692,6846100
KK Nagar,1736,91,2.0,1.0,4,Partial,Yes,Others,NoSeWa,Paved,RM,5.0,3.7,2.2,3.49,168786,11252380
Velachery,1950,149,3.0,2.0,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,3.8,3.2,4.8,3.83,168993,11266200
KK Nagar,2186,48,3.0,2.0,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RL,2.9,2.2,3.4,2.89,443349,17733960
Adyar,843,68,1.0,1.0,3,Normal Sale,No,House,ELO,Paved,RM,2.5,2.7,4.3,3.44,25006,8335390
Adyar,1022,129,1.0,1.0,3,AdjLand,No,House,NoSewr ,Gravel,RH,2.1,4.4,2.4,2.71,108435,9036250
KK Nagar,2397,175,4.0,2.0,6,Normal Sale,No,Others,NoSewr ,Paved,RH,2.6,3.5,3.6,3.27,129479,11770840
Chrompet,1083,31,1.0,1.0,3,Partial,No,Others,ELO,Gravel,RM,2.1,4.8,2.7,3.36,123753,9519460
Adyar,923,9,1.0,1.0,3,AbNormal,No,Commercial,ELO,No Access,C,4.5,2.2,2.4,2.99,125787,8984810
Anna Nagar,1958,141,2.0,1.0,5,Family,Yes,Commercial,AllPub,Paved,RM,2.8,4.2,2.7,3.11,227448,22744800
Adyar,631,91,1.0,1.0,2,Partial,Yes,House,NoSeWa,Gravel,RL,4.1,2.5,4.9,4.18,40707,8141330
Anna Nagar,1829,121,2.0,1.0,5,Normal Sale,No,Commercial,ELO,No Access,RM,3.2,3.9,3.9,3.655,297095,19806350
KK Nagar,2228,7,4.0,2.0,6,AdjLand,No,House,NoSewr ,Paved,RM,3.6,4.9,4.3,4.27,167536,11966860
Anna Nagar,1969,102,2.0,1.0,5,AdjLand,Yes,Others,ELO,Gravel,RH,4.3,3.0,2.0,3.055,138085,15342740
Chrompet,1128,100,1.0,1.0,3,Family,No,Others,AllPub,Gravel,RL,4.6,3.8,3.9,4.07,49929,9985710
Adyar,922,40,1.0,1.0,3,AbNormal,No,Others,ELO,Paved,C,2.9,4.5,2.7,3.12,19328,6442655
Chrompet,1141,178,1.0,1.0,3,AdjLand,Yes,Commercial,AllPub,Paved,RH,3.6,2.6,3.3,3.11,166606,13883800
Velachery,1537,89,2.0,1.0,4,AbNormal,No,House,AllPub,Gravel,RL,3.5,5.0,4.9,4.6,138889,9920630
Adyar,720,192,1.0,1.0,2,AdjLand,Yes,Commercial,ELO,Paved,RL,3.8,3.0,4.2,3.84,102843,11427045
KK Nagar,2175,27,3.0,2.0,5,Normal Sale,No,Others,NoSeWa,Paved,RL,3.1,4.5,3.4,3.64,94325,11790660
Adyar,1152,183,1.0,1.0,3,AdjLand,Yes,Others,NoSeWa,No Access,A,4.6,4.3,3.4,3.94,115301,8235750
KK Nagar,2278,54,4.0,2.0,6,AdjLand,Yes,House,NoSewr ,Paved,RL,2.2,2.7,4.8,3.39,263083,12527740
KK Nagar,2460,51,4.0,2.0,6,Partial,Yes,Commercial,NoSewr ,Paved,RL,2.2,3.7,2.1,2.61,174502,19389140
Velachery,1940,34,3.0,2.0,5,Normal Sale,Yes,Commercial,AllPub,Gravel,RL,4.1,3.4,3.7,3.67,177975,17797530
Karapakkam,693,38,1.0,1.0,2,AbNormal,No,Others,NoSewr ,Paved,I,2.6,3.9,2.3,2.87,46801,4680125
Chrompet,966,2,1.0,1.0,3,Normal Sale,No,House,AllPub,Gravel,RL,4.4,3.6,3.2,3.72,62668,8952550
Adyar,898,4,1.0,1.0,3,AbNormal,Yes,House,NoSeWa,Paved,RL,4.9,4.4,4.7,4.7,46752,9350380
Adyar,918,75,1.0,1.0,3,AbNormal,No,Commercial,AllPub,Gravel,A,4.1,3.8,4.5,4.24,9877,9876540
Anna Nagar,1918,188,2.0,1.0,5,Normal Sale,No,Commercial,ELO,No Access,RH,2.0,2.1,4.4,2.985,215708,19609850
KK Nagar,2333,193,4.0,2.0,6,Normal Sale,No,Commercial,NoSeWa,Paved,RH,2.7,2.6,3.8,3.11,343422,17171100
Karapakkam,768,49,1.0,1.0,2,AbNormal,Yes,House,ELO,Paved,C,3.2,2.8,2.9,2.96,48550,4855000
Chrompet,783,188,1.0,1.0,2,Partial,Yes,Others,AllPub,Gravel,RL,4.2,2.1,4.6,3.48,91655,9165460
Anna Nagar,1661,131,1.0,1.0,4,AbNormal,No,House,AllPub,Paved,RM,4.1,4.9,3.4,4.02,197711,12356960
Chrompet,958,88,1.0,1.0,3,AbNormal,Yes,Commercial,AllPub,Paved,RL,3.7,2.4,4.5,3.42,87313,12473300
Adyar,1276,82,2.0,2.0,4,Partial,No,Commercial,NoSewr ,No Access,I,3.6,4.7,2.9,3.47,38574,12858080
KK Nagar,1877,47,3.0,2.0,5,Normal Sale,Yes,Commercial,AllPub,Paved,RH,3.6,2.7,4.8,3.81,281982,15665660
Anna Nagar,1845,159,2.0,1.0,5,Partial,Yes,House,ELO,No Access,RL,4.1,2.1,4.4,3.72,144637,12053080
KK Nagar,1533,61,2.0,1.0,4,AdjLand,Yes,House,NoSeWa,Paved,RH,2.2,3.7,2.0,2.57,224587,9357800
Chrompet,1257,108,2.0,1.0,4,AdjLand,Yes,Others,AllPub,Gravel,RM,5.0,3.6,4.4,4.26,77106,12851040
Karapakkam,1353,128,2.0,2.0,4,Normal Sale,Yes,House,NoSewr ,Gravel,RL,4.2,3.1,4.1,3.83,127537,9109750
Velachery,1672,190,2.0,1.0,4,AbNormal,Yes,House,NoSeWa,Paved,A,4.3,2.8,4.1,3.57,142729,7512030
Chrompet,1097,31,1.0,1.0,3,Normal Sale,Yes,Commercial,AllPub,No Access,RH,4.2,4.0,4.3,4.15,165938,12764450
KK Nagar,1986,9,3.0,2.0,5,Family,Yes,House,NoSewr ,Paved,RH,4.8,3.0,4.0,3.94,178656,10509200
Chrompet,1083,176,1.0,1.0,3,AbNormal,No,House,NoSewr ,No Access,RH,4.5,3.5,4.0,3.95,93023,7155650
Chrompet,1218,163,2.0,1.0,4,Family,Yes,Commercial,ELO,No Access,RH,3.5,2.5,4.0,3.25,180875,12919650
T Nagar,1903,5,2.0,1.0,5,Normal Sale,No,Others,NoSeWa,No Access,RM,5.0,4.5,2.8,3.885,265115,13953400
Chrompet,860,103,1.0,1.0,3,Family,Yes,Commercial,NoSeWa,Gravel,RL,4.9,2.0,2.2,2.93,197922,12370100
Karapakkam,1003,92,1.0,1.0,3,AdjLand,No,Commercial,NoSewr ,No Access,A,2.8,3.6,3.3,3.24,75951,6329250
Chrompet,1078,29,1.0,1.0,3,Family,Yes,Commercial,AllPub,No Access,RL,3.7,4.2,3.3,3.78,167003,12846400
Chrompet,1133,198,1.0,1.0,3,AbNormal,Yes,Others,AllPub,No Access,RL,2.5,4.1,2.9,3.26,145927,9728460
KK Nagar,1494,157,2.0,1.0,4,AbNormal,No,House,AllPub,Paved,RM,2.4,4.5,3.5,3.47,93547,9354680
Adyar,626,27,1.0,1.0,2,AdjLand,No,Others,AllPub,Gravel,RL,2.1,3.3,4.6,3.59,16346,8173180
Chrompet,719,82,1.0,1.0,2,AdjLand,No,House,ELO,Paved,RM,2.2,3.3,2.3,2.67,36761,7352150
Karapakkam,921,121,1.0,1.0,3,AdjLand,Yes,Others,AllPub,No Access,C,3.4,2.0,4.3,3.34,135735,5655625
T Nagar,1867,135,2.0,1.0,5,AbNormal,Yes,Commercial,AllPub,Paved,RL,2.4,4.2,4.2,3.66,219886,21988560
Chrompet,1010,23,1.0,1.0,3,Family,No,House,NoSeWa,Gravel,RM,5.0,3.4,4.5,4.21,26603,8867600
Karapakkam,1404,66,2.0,2.0,4,Family,No,House,ELO,Gravel,C,5.0,3.9,4.8,4.59,131395,6569750
Karapakkam,1305,140,1.0,1.0,3,AdjLand,No,Others,NoSeWa,No Access,RH,2.5,2.3,4.1,3.08,125445,6602375
Karapakkam,1647,127,2.0,2.0,4,Family,Yes,Others,AllPub,No Access,RM,2.8,4.6,4.2,3.9,143351,10239375
Karapakkam,1433,85,2.0,2.0,4,AdjLand,Yes,Others,ELO,No Access,RM,2.5,4.6,3.3,3.45,88482,9831375
Chrompet,925,186,1.0,1.0,3,Normal Sale,No,Others,ELO,Gravel,RM,2.0,2.9,4.7,3.17,45755,9151000
Chrompet,964,166,1.0,1.0,3,Partial,Yes,Others,NoSewr ,Paved,RM,2.1,2.4,3.7,2.7,140934,10066680
Karapakkam,571,122,1.0,1.0,2,AdjLand,No,Commercial,NoSewr ,Paved,RM,4.3,4.7,3.0,3.9,126392,7899500
Anna Nagar,1828,23,2.0,1.0,5,Normal Sale,No,Others,AllPub,No Access,RH,2.6,4.2,2.1,2.8,98015,12251920
Karapakkam,1595,131,2.0,2.0,4,Normal Sale,Yes,Others,NoSeWa,No Access,RM,4.7,4.3,3.7,4.18,151926,9495375
Adyar,615,98,1.0,1.0,2,AdjLand,Yes,Others,ELO,Gravel,I,4.8,4.8,3.5,4.15,69306,7700720
Chrompet,919,42,1.0,1.0,3,AdjLand,Yes,Commercial,NoSewr ,Paved,RL,2.3,2.6,2.1,2.36,73303,12217100
Chrompet,1018,30,1.0,1.0,3,AdjLand,Yes,Others,AllPub,Gravel,RM,4.4,2.5,4.6,3.7,122536,11139610
T Nagar,1578,64,1.0,1.0,4,Family,No,Commercial,NoSewr ,No Access,RM,2.9,2.1,3.7,3.06,299599,17623460
T Nagar,1660,134,1.0,1.0,4,AbNormal,No,Others,AllPub,Paved,RM,3.5,2.0,3.0,2.9,231253,13603120
Chrompet,796,191,1.0,1.0,2,AdjLand,Yes,Commercial,ELO,Gravel,RL,4.5,3.0,2.4,3.27,104202,11578050
KK Nagar,2416,111,4.0,2.0,6,AdjLand,No,Others,NoSewr ,Paved,RL,5.0,3.6,4.4,4.34,155603,12966920
Chrompet,760,73,1.0,1.0,2,AbNormal,Yes,Others,NoSeWa,No Access,RM,3.2,2.8,4.4,3.4,144826,8519200
Velachery,1767,174,2.0,1.0,4,Family,No,Commercial,AllPub,No Access,I,2.2,2.4,3.5,2.68,182354,13025260
Chrompet,817,97,1.0,1.0,3,Normal Sale,Yes,House,NoSeWa,No Access,RL,4.5,4.8,3.1,4.2,54772,7824600
Adyar,630,77,1.0,1.0,2,AdjLand,Yes,House,NoSewr ,Paved,RL,3.9,2.8,2.9,3.18,68383,8547835
Adyar,833,130,1.0,1.0,3,Partial,No,Commercial,AllPub,No Access,RM,2.8,4.7,2.0,2.78,167489,11165950
Chrompet,740,21,1.0,1.0,2,Partial,No,Commercial,NoSeWa,No Access,RL,2.5,4.9,4.8,4.15,101893,9263000
KK Nagar,1520,147,2.0,1.0,4,Family,No,Commercial,NoSewr ,Gravel,RL,4.0,2.8,5.0,4.04,244085,13560300
Chrompet,769,151,1.0,1.0,2,Partial,No,House,ELO,Gravel,RH,2.1,2.8,3.3,2.74,44091,6298700
Anna Nagar,1638,15,1.0,1.0,4,AdjLand,Yes,House,NoSeWa,No Access,RM,3.2,2.7,3.8,3.315,89095,12727790
Velachery,1857,14,3.0,2.0,5,AbNormal,Yes,Commercial,NoSewr ,No Access,RL,4.2,3.1,3.3,3.44,161850,16185010
Karapakkam,924,181,1.0,1.0,3,AdjLand,Yes,Others,AllPub,Gravel,RM,2.0,3.6,2.1,2.52,118482,9114000
Adyar,600,96,1.0,1.0,2,Normal Sale,Yes,Others,ELO,No Access,RH,2.2,2.8,3.3,2.87,13653,6826655
Velachery,1964,187,3.0,2.0,5,AbNormal,No,House,AllPub,Gravel,I,2.6,2.7,4.0,3.07,195910,9329030
Anna Nagar,1914,66,2.0,1.0,5,Partial,Yes,House,ELO,Gravel,RL,3.6,2.7,3.2,[4.26666667 3.86666667 3.36666667 ... 3.8        4.16666667 3.63333333],190346,13596110
Anna Nagar,1678,31,1.0,1.0,4,Normal Sale,Yes,Others,NoSeWa,No Access,RL,4.3,4.4,3.5,4.005,225312,13253630
Karapakkam,758,43,1.0,1.0,2,AdjLand,Yes,House,NoSewr ,Gravel,RH,5.0,2.1,4.2,3.81,83862,6988500
Karapakkam,1110,157,1.0,1.0,3,Normal Sale,No,Others,AllPub,No Access,RL,2.3,4.7,2.6,3.14,150640,6847250
Velachery,1782,88,2.0,1.0,4,Normal Sale,Yes,Others,NoSewr ,No Access,RM,3.7,2.1,4.2,3.13,81699,11671340
Adyar,1282,63,2.0,2.0,4,AbNormal,Yes,Others,NoSewr ,Gravel,A,3.2,2.7,2.3,2.65,92021,9202070
Chrompet,913,77,1.0,1.0,3,Normal Sale,Yes,House,ELO,Gravel,RM,3.7,2.5,2.8,2.95,132509,9464900
Velachery,1545,70,2.0,1.0,4,Family,No,Others,ELO,Paved,I,2.1,4.9,3.6,3.81,166175,8308730
Chrompet,971,91,1.0,1.0,3,Partial,No,Commercial,NoSewr ,Gravel,RL,3.9,3.7,4.2,3.91,96311,12038850
Adyar,605,60,1.0,1.0,2,AbNormal,Yes,Others,NoSewr ,No Access,C,4.7,4.3,3.9,4.22,40056,5722305
Chrompet,1014,83,1.0,1.0,3,AdjLand,Yes,House,NoSewr ,Paved,RL,3.2,2.3,2.8,2.72,91767,9176650
Chrompet,982,79,1.0,1.0,3,Partial,No,Commercial,ELO,Gravel,RM,3.9,4.6,4.7,4.42,38327,12775700
Velachery,1651,100,2.0,1.0,4,Family,Yes,Commercial,AllPub,Paved,C,3.8,3.8,3.1,3.59,122735,13637220
Karapakkam,1288,133,1.0,1.0,3,Partial,No,House,NoSewr ,No Access,I,3.3,2.6,2.6,2.81,59235,4936250
Velachery,1661,83,2.0,1.0,4,Partial,Yes,Others,NoSewr ,No Access,RM,3.9,2.2,3.9,3.14,95003,10555860
Velachery,1578,68,2.0,1.0,4,Family,Yes,Others,ELO,No Access,RL,4.5,3.2,3.4,3.59,87372,9708030
KK Nagar,1937,4,3.0,2.0,5,Family,Yes,Others,AllPub,Paved,RM,4.3,3.0,4.4,3.95,268427,12782260
Karapakkam,1403,74,2.0,2.0,4,Partial,No,House,NoSewr ,No Access,I,3.8,2.4,4.8,3.78,59428,5402500
Adyar,968,49,1.0,1.0,3,AdjLand,Yes,Others,ELO,Gravel,RL,3.5,3.9,4.7,4.18,115740,10521855
Karapakkam,1628,185,2.0,2.0,4,Normal Sale,No,Others,NoSeWa,Gravel,C,2.2,4.3,2.2,2.83,150161,7150500
Adyar,1287,18,2.0,2.0,4,Family,Yes,Commercial,AllPub,Paved,C,2.1,3.2,2.6,2.57,28233,14116310
Karapakkam,1438,77,2.0,2.0,4,AbNormal,No,Others,ELO,No Access,RH,4.0,3.3,2.7,3.27,127637,6717750
Karapakkam,1351,95,2.0,2.0,4,Partial,Yes,Others,AllPub,No Access,C,3.3,2.2,2.7,2.73,123883,6194125
Chrompet,956,16,1.0,1.0,3,AdjLand,Yes,House,AllPub,Gravel,RL,2.3,2.3,4.8,3.05,138590,9899250
Adyar,1177,47,1.0,1.0,3,AdjLand,Yes,House,ELO,Gravel,RH,5.0,2.8,3.8,3.96,159966,10664405
Chrompet,774,113,1.0,1.0,2,Partial,No,House,ELO,Paved,RH,2.0,4.0,2.7,3.01,76693,5899450
Karapakkam,1207,145,1.0,1.0,3,Family,No,House,AllPub,No Access,RH,4.5,4.8,4.5,4.59,119245,5962250
KK Nagar,1561,70,2.0,1.0,4,AbNormal,No,Commercial,NoSeWa,Paved,RL,4.8,4.9,3.4,4.27,148387,13489720
Karapakkam,1156,46,1.0,1.0,3,AdjLand,No,Commercial,AllPub,Gravel,I,2.3,4.7,4.2,3.78,160900,10056250
KK Nagar,1852,11,3.0,2.0,5,Family,No,Commercial,NoSewr ,Paved,RM,3.1,4.1,2.7,3.24,311849,15592460
Chrompet,1190,56,1.0,1.0,3,AbNormal,No,Commercial,AllPub,Paved,RH,3.3,4.0,2.5,3.34,164213,12631750
Velachery,1823,200,3.0,2.0,5,AdjLand,Yes,House,NoSewr ,Gravel,I,2.7,4.3,4.9,4.08,143496,10249680
Velachery,1527,176,2.0,1.0,4,Partial,No,Others,NoSewr ,Paved,C,3.4,3.3,2.4,3.06,116077,7738440
Karapakkam,581,128,1.0,1.0,2,Family,Yes,Commercial,ELO,Gravel,I,3.7,2.5,3.2,3.14,137522,7238000
Karapakkam,519,13,1.0,1.0,2,Partial,Yes,Commercial,NoSeWa,No Access,RL,4.9,2.3,3.9,3.72,163248,6802000
Karapakkam,1290,149,1.0,1.0,3,Normal Sale,Yes,House,ELO,Gravel,RM,5.0,4.3,4.8,4.71,207532,9433250
Chrompet,1274,10,2.0,1.0,4,Normal Sale,Yes,House,ELO,No Access,RH,4.3,4.6,4.3,4.42,110081,9173450
Chrompet,1041,198,1.0,1.0,3,Family,Yes,Commercial,NoSewr ,Gravel,RM,3.5,3.3,3.9,3.54,83515,13919200
Karapakkam,908,46,1.0,1.0,3,AbNormal,No,House,AllPub,Paved,C,2.2,3.2,4.1,3.26,47773,4343000
Karapakkam,1525,27,2.0,2.0,4,AdjLand,Yes,Commercial,AllPub,Paved,I,4.5,2.8,3.2,3.47,248405,12420250
Velachery,1984,102,3.0,2.0,5,Family,No,Others,AllPub,No Access,RL,2.4,4.6,4.7,4.08,132205,10169600
Karapakkam,1537,65,2.0,2.0,4,AdjLand,No,Commercial,ELO,Paved,RL,3.7,4.2,4.7,4.25,144900,12075000
